year,name,director,actors,date
2002,互动杀人事件,邓衍成,许志安、张燊悦、王合喜、郑中基,1月10日
2002,我爱夏日长,叶伟英,张绮桐、鬼冢、何佩娴、张豪龙,1月10日
2002,无限复活,刘镇伟,郑伊健、张柏芝、关继威、活丽明,1月17日
2002,二人三足,赵崇基,张家辉、朱茵、车婉婉、吴浣仪,1月17日
2002,怪兽学园,张志成,黄秋生、李璨琛、锺欣潼、傅天颖,1月24日
2002,丰胸秘Cup,叶伟民,吴镇宇、李嘉欣、吴彦祖、谭小环,1月24日
2002,阴阳路十三之花鬼,陈耀明,罗兰、王合喜、陈颖妍、张豪龙,1月24日
2002,致命性骚扰,邓衍成,方中信、陶大宇、张文慈、齐沚瑶,1月31日
2002,一蚊鸡保镖,"邝文伟
黄子华",黄子华、郭羡妮、黄秋生、许绍雄,1月31日
2002,嫁个有钱人,谷德昭,郑秀文、任贤齐、林海峰、卢巧音,2月7日
2002,呖咕呖咕新年财,"杜琪峰
韦家辉",刘德华、刘青云、古天乐、梁咏琪,2月8日
2002,天下无双,刘镇伟,梁朝伟、赵薇、王菲、张震、朱茵,2月8日
2002,跌打婆与辣妹,周振荣,叶童、锺镇涛、成奎安、黄子扬,2月28日
2002,新扎师妹,马伟豪,杨千嬅、吴彦祖、黄浩然、黄伟文,3月7日
2002,风流家族,邱礼涛,张家辉、卢巧音、锺镇涛、叶童,3月7日
2002,男人四十,许鞍华,张学友、梅艳芳、林嘉欣、谭俊彦,3月14日
2002,想飞,"张艾嘉
袁锦麟",吴彦祖、陈冠希、李心洁、黄秋生,3月28日
2002,恋爱行星,林超贤,谢霆锋、林嘉欣、卢巧音、陈奕迅,3月28日
2002,卫斯理蓝血人,刘伟强,刘德华、关之琳、舒淇、张耀扬,3月28日
2002,异度空间,罗志良,张国荣、林嘉欣、潘美琪、周嘉玲,3月28日
2002,不寒而栗,周振荣,锺镇涛、翁虹、周嘉玲、陈颖妍,4月11日
2002,香港有个好莱坞,陈果,周迅、陈英明、黄又南、柯世文,4月13日
2002,非常凶姐,梁德森,李璨琛、李珊珊、黎耀祥、林雪,4月18日
2002,干柴烈火,叶伟信,古天乐、杨千嬅、陈慧珊、黄伟文,4月19日
2002,横行霸盗,陈会毅,曾志伟、任达华、王敏德、杜汶泽,4月25日
2002,赌神之神,亨利·潘,王杰、陈松伶、李子雄、杜汶泽,4月25日
2002,阴阳路十四之双鬼拍门,叶伟英,罗兰、唐家辉、齐沚瑶、张豪龙,5月2日
2002,见鬼,彭氏兄弟,李心洁、周俊伟、卢巧音、方展发,5月9日
2002,变脸迷情,锺少雄,吴彦祖、黎姿、冯德伦、林雪,5月10日
2002,偷窥无罪,麦子善,吴彦祖、麦家琪、任港秀、林雅诗,5月16日
2002,杀手狂龙,南燕,洪金宝、陈松伶、王合喜、李炜尚,5月16日
2002,当男人变成女人,"刘伟强
叶伟民",郑伊健、王敏德、古天乐、吴镇宇,5月23日
2002,焚兽之都,孔祥德,原子鏸、吕颂贤、谈伟杰、黄德斌,5月23日
2002,一屋贪钱人,叶伟英,玛利亚、黎耀祥、陈松伶、黄一飞,5月23日
2002,猪扒大联盟,劳剑华,李嘉欣、莫文蔚、关秀媚、林熙蕾,5月30日
2002,悭钱家族,赵崇基,陈奕迅、郑裕玲、杨千嬅、曾志伟,6月6日
2002,横财就手,黎子宁,张达明、任港秀、罗家英、张锦程,6月13日
2002,这个夏天有异性,马伟豪,蔡卓妍、锺欣潼、王杰、周永恒,6月14日
2002,幽灵人间II鬼味人间,邝文伟,陈奕迅、谷祖琳、应采儿、郭晋安,6月20日
2002,阴阳路十五之客似魂来,陆剑明,曾志伟、梁汉文、罗兰、黄泆潼,7月4日
2002,枕边凶灵,郑伟文,陈小春、林熙蕾、陈敏之、黄贯中,7月4日
2002,我左眼见到鬼,"杜琪峰
韦家辉",郑秀文、刘青云、应采儿、李珊珊,7月13日
2002,无问题2,钱嘉乐,元彪、卢巧音、倪星、李璨琛,7月25日
2002,现代灰姑娘,叶伟英,陈松伶、黎耀祥、叶世荣、李蕙敏,7月25日
2002,狂野卧底,林庆隆,李修贤、李炜尚、陈敏芝、锺兆康,8月1日
2002,绝世好B,"梁柏坚
陈庆嘉",刘青云、古天乐、梁咏琪、关之琳,8月8日
2002,三更之回家,"金知云
朗斯尼美毕达
陈可辛",黎明、曾志伟、岑建勋、金慧秀,8月15日
2002,黑道风云,麦子善,陈小春、谭耀文、应采儿、雷宇扬,8月15日
2002,心跳,陆剑明,梁汉文、陈松伶、谭小环、黎耀祥,8月15日
2002,贱精先生,关信辉,陈奕迅、锺欣潼、葛民辉、卢巧音,9月5日
2002,阴阳路十六之回到武侠时代,叶伟英,雷宇扬、蓝洁瑛、罗兰、锺镇涛,9月5日
2002,夕阳天使,元奎,舒淇、赵薇、莫文蔚、温兆伦,9月6日
2002,Office有鬼,"麦子善
刘宝贤
不是女人",冯德伦、舒淇、陈小春、莫文蔚,9月6日
2002,一碌蔗,叶锦鸿,蔡卓妍、锺欣潼、余文乐、黄秋生,9月19日
2002,骑呢特工,林伟贤,郑则士、小雪、邓一君、欧倩怡,9月19日
2002,好心相爱,罗金泉,任贤齐、卢巧音、江芷妮、任浩,9月19日
2002,我老婆唔够秤,阮世生,郑伊健、蔡卓妍、车婉婉、廖碧儿,9月25日
2002,我家有一只河东狮,马伟豪,古天乐、张柏芝、徐少洪、黄伟文,10月3日
2002,魂魄唔齐,梁柏坚,陈奕迅、容祖儿、谢霆锋、郑希怡,10月12日
2002,飘忽男女,罗惠德,佘诗曼、李丽珍、张燊悦、梁汉文,10月17日
2002,手足情深,锺澍佳,张智霖、苏有朋、范冰冰、卢淑仪,10月17日
2002,机密档案之人间蒸发,何志恒,陶大宇、黎耀祥、袁洁莹、李炜尚,10月24日
2002,热血青年,郑保瑞,周英杰、周子驹、周丽淇、梁敏仪,10月25日
2002,夺魄勾魂,锺少雄,张智霖、李璨琛、谢君豪、林雪,10月30日
2002,五个吓鬼的少年,叶伟信,徐天佑、黄又南、李茏怡、黄伟文,11月1日
2002,赌侠2002,张敏,张家辉、黄伟文、冯德伦、黄一飞,11月7日
2002,走火枪,林华全,黄真真、叶伟信、毕国智,11月7日
2002,监狱风云之传教士,叶伟英,陶大宇、唐文龙、滕丽名,11月13日
2002,赤裸特工,程小东,安雅、Maggie Q、吴彦祖、黄佩霞,11月15日
2002,我爱一碌葛,罗惠德,陈雅伦、李丽珍、小雪、杜德伟,11月21日
2002,九个女仔一只鬼,锺澍佳,陈冠希、邓丽欣、王嘉明、陈欣健,11月23日
2002,反收数特遣队,邱礼涛,李修贤、许绍雄、卢惠光、黎淑贤,11月28日
2002,35米厘记忆碎片,刘国辉,王喜、谢君豪、周海媚、李蕙敏,11月28日
2002,阴阳路十七之监房有鬼,林伟贤,李璨琛、麦家琪、罗兰、雷宇扬,12月5日
2002,飞虎雄师,霍耀良,王敏德、余文乐、谭耀文、黄浩然,12月5日
2002,绝密档案之迷失世界,何志恒,黎耀祥、袁洁莹、滕丽名、魏骏杰,12月12日
2002,无间道,"刘伟强
麦兆辉",刘德华、梁朝伟、黄秋生、曾志伟,12月12日
2002,旺角半熟少女,刘孝伟,林雅诗、黎耀祥、陈昭昭、黄榕,12月19日
2002,英雄,张艺谋,陈道明、李连杰、梁朝伟、张曼玉、章子怡、甄子丹,12月21日
2002,金鸡,赵良骏,吴君如、曾志伟、梁家辉、杜汶泽,12月26日
2002,情迷个半月,周振荣,吕方、麦家琪、骆应钧、郑艳丽,